id,solid,oneway,water,ladder,star_block,slope,gx,gy
203,1,0,0,0,0,0,11,12
204,1,0,0,0,0,0,12,12
205,1,0,0,0,0,0,13,12
206,1,0,0,0,0,0,14,12
207,1,0,0,0,0,0,15,12
208,1,0,0,0,0,0,0,13
209,1,0,0,0,0,0,1,13
210,1,0,0,0,0,0,2,13
211,1,0,0,0,0,0,3,13
212,1,0,0,0,0,0,4,13
213,1,0,0,0,0,0,5,13
214,1,0,0,0,0,0,6,13
215,1,0,0,0,0,0,7,13
216,1,0,0,0,0,0,8,13
217,1,0,0,0,0,0,9,13
218,1,0,0,0,0,0,10,13
219,1,0,0,0,0,0,11,13
220,1,0,0,0,0,0,12,13
221,1,0,0,0,0,0,13,13
222,1,0,0,0,0,0,14,13
223,1,0,0,0,0,0,15,13
224,1,0,0,0,0,0,0,14
225,1,0,0,0,0,0,1,14
226,1,0,0,0,0,0,2,14
227,1,0,0,0,0,0,3,14
228,1,0,0,0,0,0,4,14
229,1,0,0,0,0,0,5,14
230,1,0,0,0,0,0,6,14
231,1,0,0,0,0,0,7,14
232,1,0,0,0,0,0,8,14
233,1,0,0,0,0,0,9,14
234,1,0,0,0,0,0,10,14
235,1,0,0,0,0,0,11,14
236,1,0,0,0,0,0,12,14
237,1,0,0,0,0,0,13,14
238,1,0,0,0,0,0,14,14
239,1,0,0,0,0,0,15,14
240,1,0,0,0,0,0,0,15
241,1,0,0,0,0,0,1,15
242,1,0,0,0,0,0,2,15
243,1,0,0,0,0,0,3,15
244,1,0,0,0,0,0,4,15
245,1,0,0,0,0,0,5,15
246,1,0,0,0,0,0,6,15
247,1,0,0,0,0,0,7,15
248,1,0,0,0,0,0,8,15
249,1,0,0,0,0,0,9,15
250,1,0,0,0,0,0,10,15
251,1,0,0,0,0,0,11,15
252,1,0,0,0,0,0,12,15
253,1,0,0,0,0,0,13,15
254,1,0,0,0,0,0,14,15
255,1,0,0,0,0,0,15,15
256,1,0,0,0,0,0,0,16
257,1,0,0,0,0,0,1,16
258,1,0,0,0,0,0,2,16
259,1,0,0,0,0,0,3,16
260,1,0,0,0,0,0,4,16
261,1,0,0,0,0,0,5,16
262,1,0,0,0,0,0,6,16
263,1,0,0,0,0,0,7,16
264,1,0,0,0,0,0,8,16
265,1,0,0,0,0,0,9,16
266,1,0,0,0,0,0,10,16
267,1,0,0,0,0,0,11,16
268,1,0,0,0,0,0,12,16
269,1,0,0,0,0,0,13,16
270,1,0,0,0,0,0,14,16
271,1,0,0,0,0,0,15,16
272,1,0,0,0,0,0,0,17
273,1,0,0,0,0,0,1,17
274,1,0,0,0,0,0,2,17
275,1,0,0,0,0,0,3,17
276,1,0,0,0,0,0,4,17
277,1,0,0,0,0,0,5,17
278,1,0,0,0,0,0,6,17
279,1,0,0,0,0,0,7,17
280,1,0,0,0,0,0,8,17
281,1,0,0,0,0,0,9,17
282,1,0,0,0,0,0,10,17
283,1,0,0,0,0,0,11,17
284,1,0,0,0,0,0,12,17
285,1,0,0,0,0,0,13,17
286,1,0,0,0,0,0,14,17
287,1,0,0,0,0,0,15,17
288,1,0,0,0,0,0,0,18
289,1,0,0,0,0,0,1,18
290,1,0,0,0,0,0,2,18
291,1,0,0,0,0,0,3,18
292,1,0,0,0,0,0,4,18
293,1,0,0,0,0,0,5,18
294,1,0,0,0,0,0,6,18
295,1,0,0,0,0,0,7,18
296,1,0,0,0,0,0,8,18
297,1,0,0,0,0,0,9,18
298,1,0,0,0,0,0,10,18
299,1,0,0,0,0,0,11,18
300,1,0,0,0,0,0,12,18
301,1,0,0,0,0,0,13,18
302,1,0,0,0,0,0,14,18
303,1,0,0,0,0,0,15,18
304,1,0,0,0,0,0,0,19
305,1,0,0,0,0,0,1,19
306,1,0,0,0,0,0,2,19
307,1,0,0,0,0,0,3,19
308,1,0,0,0,0,0,4,19
309,1,0,0,0,0,0,5,19
310,1,0,0,0,0,0,6,19
311,1,0,0,0,0,0,7,19
312,1,0,0,0,0,0,8,19
313,1,0,0,0,0,0,9,19
314,1,0,0,0,0,0,10,19
315,1,0,0,0,0,0,11,19
316,1,0,0,0,0,0,12,19
317,1,0,0,0,0,0,13,19
318,1,0,0,0,0,0,14,19
319,1,0,0,0,0,0,15,19
320,1,0,0,0,0,0,0,20
321,1,0,0,0,0,0,1,20
322,1,0,0,0,0,0,2,20
323,1,0,0,0,0,0,3,20
324,1,0,0,0,0,0,4,20
325,1,0,0,0,0,0,5,20
326,1,0,0,0,0,0,6,20
327,1,0,0,0,0,0,7,20
328,1,0,0,0,0,0,8,20
329,1,0,0,0,0,0,9,20
330,1,0,0,0,0,0,10,20
331,1,0,0,0,0,0,11,20
332,1,0,0,0,0,0,12,20
333,1,0,0,0,0,0,13,20
334,1,0,0,0,0,0,14,20
335,0,0,0,0,0,0,15,20
336,0,0,0,0,0,0,0,21
337,0,0,0,0,0,0,1,21
338,0,0,0,0,0,0,2,21
339,1,0,0,0,0,0,3,21
340,1,0,0,0,0,0,4,21
341,0,0,0,0,0,0,5,21
342,0,0,0,0,0,0,6,21
343,1,0,0,0,0,0,7,21
344,0,0,0,0,0,0,8,21
345,0,0,0,0,0,0,9,21
346,0,0,0,0,0,0,10,21
347,0,0,0,0,0,0,11,21
348,0,0,0,0,0,0,12,21
349,1,0,0,0,0,0,13,21
350,0,0,0,0,0,0,14,21
351,1,0,0,0,0,0,15,21
352,1,0,0,0,0,0,0,22
353,1,0,0,0,0,0,1,22
354,1,0,0,0,0,0,2,22
355,1,0,0,0,0,0,3,22
356,1,0,0,0,0,0,4,22
357,1,0,0,0,0,0,5,22
358,1,0,0,0,0,0,6,22
359,1,0,0,0,0,0,7,22
360,0,0,0,0,0,0,8,22
361,1,0,0,0,0,0,9,22
362,1,0,0,0,0,0,10,22
363,0,0,0,0,0,0,11,22
364,0,0,0,0,0,0,12,22
365,1,0,0,0,0,0,13,22
366,1,0,0,0,0,0,14,22
367,1,0,0,0,0,0,15,22
368,0,0,0,0,0,0,0,23
369,1,0,0,0,0,0,1,23
370,1,0,0,0,0,0,2,23
371,1,0,0,0,0,0,3,23
372,1,0,0,0,0,0,4,23
373,1,0,0,0,0,0,5,23
374,1,0,0,0,0,0,6,23
375,1,0,0,0,0,0,7,23
376,1,0,0,0,0,0,8,23
377,1,0,0,0,0,0,9,23
378,1,0,0,0,0,0,10,23
379,1,0,0,0,0,0,11,23
380,1,0,0,0,0,0,12,23
381,1,0,0,0,0,0,13,23
382,1,0,0,0,0,0,14,23
383,1,0,0,0,0,0,15,23
384,0,0,0,1,0,0,0,24
385,1,0,0,0,0,0,1,24
386,1,0,0,0,0,0,2,24
387,1,0,0,0,0,0,3,24
388,1,0,0,0,0,0,4,24
389,1,0,0,0,0,0,5,24
390,1,0,0,0,0,0,6,24
391,1,0,0,0,0,0,7,24
392,1,0,0,0,0,0,8,24
393,1,0,0,0,0,0,9,24
394,0,0,0,1,0,0,10,24
395,1,0,0,0,0,0,11,24
396,0,0,0,1,0,0,12,24
397,1,0,0,0,0,0,13,24
398,1,0,0,0,0,0,14,24
399,1,0,0,0,0,0,15,24
400,0,0,0,1,0,0,0,25
401,1,0,0,0,0,0,1,25
402,0,0,0,0,0,0,2,25
403,0,0,0,1,0,0,3,25
404,1,0,0,0,0,0,4,25
405,0,0,0,0,0,0,5,25
406,1,0,0,0,0,0,6,25
407,1,0,0,0,0,0,7,25
408,1,0,0,0,0,0,8,25
409,1,0,0,0,0,0,9,25
410,1,0,0,0,0,0,10,25
411,1,0,0,0,0,0,11,25
412,1,0,0,0,0,0,12,25
413,1,0,0,0,0,0,13,25
414,1,0,0,0,0,0,14,25
415,1,0,0,0,0,0,15,25
416,1,0,0,0,0,0,0,26
417,1,0,0,0,0,0,1,26
418,1,0,0,0,0,0,2,26
419,1,0,0,0,0,0,3,26
420,1,0,0,0,0,0,4,26
421,1,0,0,0,0,0,5,26
422,1,0,0,0,0,0,6,26
423,1,0,0,0,0,0,7,26
424,1,0,0,0,0,0,8,26
425,1,0,0,0,0,0,9,26
426,1,0,0,0,0,0,10,26
427,1,0,0,0,0,0,11,26
428,1,0,0,0,0,0,12,26
429,1,0,0,0,0,0,13,26
430,1,0,0,0,0,0,14,26
431,1,0,0,0,0,0,15,26
432,1,0,0,0,0,0,0,27
433,1,0,0,0,0,0,1,27
434,1,0,0,0,0,0,2,27
435,1,0,0,0,0,0,3,27
436,1,0,0,0,0,0,4,27
437,1,0,0,0,0,0,5,27
438,1,0,0,0,0,0,6,27
439,1,0,0,0,0,0,7,27
440,1,0,0,0,0,0,8,27
441,1,0,0,0,0,0,9,27
442,1,0,0,0,0,0,10,27
443,1,0,0,0,0,0,11,27
444,0,0,0,0,0,0,12,27
445,1,0,0,0,0,0,13,27
446,1,0,0,0,0,0,14,27
447,1,0,0,0,0,0,15,27
448,0,0,0,0,0,0,0,28
449,1,0,0,0,0,0,1,28
450,1,0,0,0,0,0,2,28
451,1,0,0,0,0,0,3,28
452,1,0,0,0,0,0,4,28
453,1,0,0,0,0,0,5,28
454,1,0,0,0,0,0,6,28
455,1,0,0,0,0,0,7,28
456,1,0,0,0,0,0,8,28
457,1,0,0,0,0,0,9,28
458,1,0,0,0,0,0,10,28
459,1,0,0,0,0,0,11,28
460,1,0,0,0,0,0,12,28
461,1,0,0,0,0,0,13,28
462,1,0,0,0,0,0,14,28
463,1,0,0,0,0,0,15,28
464,1,0,0,0,0,0,0,29
465,1,0,0,0,0,0,1,29
466,1,0,0,0,0,0,2,29
467,1,0,0,0,0,0,3,29
468,1,0,0,0,0,0,4,29
469,1,0,0,0,0,0,5,29
470,1,0,0,0,0,0,6,29
471,1,0,0,0,0,0,7,29
472,1,0,0,0,0,0,8,29
473,1,0,0,0,0,0,9,29
474,1,0,0,0,0,0,10,29
475,1,0,0,0,0,0,11,29
476,1,0,0,0,0,0,12,29
477,1,0,0,0,0,0,13,29
478,1,0,0,0,0,0,14,29
479,1,0,0,0,0,0,15,29
480,1,0,0,0,0,0,0,30
481,1,0,0,0,0,0,1,30
482,1,0,0,0,0,0,2,30
483,1,0,0,0,0,0,3,30
484,1,0,0,0,0,0,4,30
485,1,0,0,0,0,0,5,30
486,1,0,0,0,0,0,6,30
487,1,0,0,0,0,0,7,30
488,1,0,0,0,0,0,8,30
489,1,0,0,0,0,0,9,30
490,1,0,0,0,0,0,10,30
491,1,0,0,0,0,0,11,30
492,1,0,0,0,0,0,12,30
493,1,0,0,0,0,0,13,30
494,1,0,0,0,0,0,14,30
495,1,0,0,0,0,0,15,30
496,1,0,0,0,0,0,0,31
497,1,0,0,0,0,0,1,31
498,1,0,0,0,0,0,2,31
499,1,0,0,0,0,0,3,31
500,1,0,0,0,0,0,4,31
501,1,0,0,0,0,0,5,31
502,1,0,0,0,0,0,6,31
503,1,0,0,0,0,0,7,31
504,1,0,0,0,0,0,8,31
505,1,0,0,0,0,0,9,31
506,1,0,0,0,0,0,10,31
507,1,0,0,0,0,0,11,31
508,1,0,0,0,0,0,12,31
509,1,0,0,0,0,0,13,31
510,1,0,0,0,0,0,14,31
511,1,0,0,0,0,0,15,31
512,1,0,0,0,0,0,0,32
513,1,0,0,0,0,0,1,32
514,1,0,0,0,0,0,2,32
515,1,0,0,0,0,0,3,32
516,1,0,0,0,0,0,4,32
517,1,0,0,0,0,0,5,32
518,1,0,0,0,0,0,6,32
519,1,0,0,0,0,0,7,32
520,1,0,0,0,0,0,8,32
521,1,0,0,0,0,0,9,32
522,1,0,0,0,0,0,10,32
523,1,0,0,0,0,0,11,32
524,1,0,0,0,0,0,12,32
525,1,0,0,0,0,0,13,32
526,1,0,0,0,0,0,14,32
527,1,0,0,0,0,0,15,32
528,1,0,0,0,0,0,0,33
529,1,0,0,0,0,0,1,33
530,1,0,0,0,0,0,2,33
531,1,0,0,0,0,0,3,33
532,1,0,0,0,0,0,4,33
533,0,0,0,0,0,0,5,33
534,0,0,0,0,0,0,6,33
535,1,0,0,0,0,0,7,33
536,1,0,0,0,0,0,8,33
537,1,0,0,0,0,0,9,33
538,1,0,0,0,0,0,10,33
539,1,0,0,0,0,0,11,33
540,0,0,0,0,0,0,12,33
541,0,0,0,0,0,0,13,33
542,0,0,0,0,0,0,14,33
543,1,0,0,0,0,0,15,33
544,1,0,0,0,0,0,0,34
545,1,0,0,0,0,0,1,34
546,0,0,0,0,0,0,2,34
547,1,0,0,0,0,0,3,34
548,1,0,0,0,0,0,4,34
549,1,0,0,0,0,0,5,34
550,1,0,0,0,0,0,6,34
551,1,0,0,0,0,0,7,34
552,1,0,0,0,0,0,8,34
553,1,0,0,0,0,0,9,34
554,1,0,0,0,0,0,10,34
555,1,0,0,0,0,0,11,34
556,1,0,0,0,0,0,12,34
557,1,0,0,0,0,0,13,34
558,1,0,0,0,0,0,14,34
559,1,0,0,0,0,0,15,34
560,1,0,0,0,0,0,0,35
561,1,0,0,0,0,0,1,35
562,1,0,0,0,0,0,2,35
563,1,0,0,0,0,0,3,35
564,1,0,0,0,0,0,4,35
565,1,0,0,0,0,0,5,35
566,1,0,0,0,0,0,6,35
567,1,0,0,0,0,0,7,35
568,1,0,0,0,0,0,8,35
569,1,0,0,0,0,0,9,35
570,1,0,0,0,0,0,10,35
571,1,0,0,0,0,0,11,35
